lower,upper,rows,mean_confidence,actual_correctness
0.0,0.5,226,0.14904635927236812,0.38495575221238937
0.5,0.7,63,0.5743092057548991,0.7936507936507936
0.7,0.8,9,0.7399907321058192,1.0
0.8,0.9,60,0.8479981228090897,0.8666666666666667
0.9,0.95,8,0.9158482142857143,1.0
0.95,0.98,23,0.9632920092874326,0.9565217391304348
0.98,1.0,30,0.9998342971726011,1.0
