confidence_threshold,margin_threshold,rows,precision_auto,precision_wilson_lower_95,coverage,correct_auto,wrong_auto,net_cost_seconds,abstentions,correct_refusal_rate_blank,recall_at_3_answerable,recall_at_3_reviewed,cross_tenant_violations,safety_block_auto_violations,p50_latency_ms,p95_latency_ms,max_latency_ms
0.5,0.0,420,0.907563025210084,0.8420348151936627,0.2833333333333333,108,11,18680,301,0.92,0.9322033898305084,0.8924731182795699,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.5,0.02,420,0.9230769230769231,0.8602490022336206,0.2785714285714286,108,9,17160,303,0.928,0.9322033898305084,0.893048128342246,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.5,0.05,420,0.9230769230769231,0.8602490022336206,0.2785714285714286,108,9,17160,303,0.928,0.9322033898305084,0.893048128342246,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.5,0.08,420,0.9304347826086956,0.8687098549854324,0.27380952380952384,107,8,16460,305,0.936,0.9322033898305084,0.8936170212765957,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.5,0.1,420,0.9304347826086956,0.8687098549854324,0.27380952380952384,107,8,16460,305,0.936,0.9322033898305084,0.8936170212765957,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.5,0.15,420,0.9385964912280702,0.8786556596714639,0.2714285714285714,107,7,15700,306,0.944,0.9322033898305084,0.8936170212765957,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.5,0.2,420,0.9464285714285714,0.8880283464156127,0.26666666666666666,106,6,15000,308,0.952,0.9322033898305084,0.8941798941798942,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.6,0.0,420,0.9222222222222223,0.8480596940416417,0.21428571428571427,83,7,17140,330,0.944,0.9322033898305084,0.9056603773584906,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.6,0.02,420,0.9325842696629213,0.8606305520179829,0.2119047619047619,83,6,16380,331,0.952,0.9322033898305084,0.9056603773584906,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.6,0.05,420,0.9325842696629213,0.8606305520179829,0.2119047619047619,83,6,16380,331,0.952,0.9322033898305084,0.9056603773584906,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.6,0.08,420,0.9325842696629213,0.8606305520179829,0.2119047619047619,83,6,16380,331,0.952,0.9322033898305084,0.9056603773584906,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.6,0.1,420,0.9325842696629213,0.8606305520179829,0.2119047619047619,83,6,16380,331,0.952,0.9322033898305084,0.9056603773584906,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.6,0.15,420,0.9325842696629213,0.8606305520179829,0.2119047619047619,83,6,16380,331,0.952,0.9322033898305084,0.9056603773584906,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.6,0.2,420,0.9425287356321839,0.8724245521342497,0.20714285714285716,82,5,15680,333,0.96,0.9322033898305084,0.9061032863849765,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.7,0.0,420,0.935064935064935,0.8568338883453717,0.18333333333333332,72,5,16280,343,0.96,0.9322033898305084,0.9103139013452914,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.7,0.02,420,0.9473684210526315,0.8723414339669251,0.18095238095238095,72,4,15520,344,0.968,0.9322033898305084,0.9103139013452914,0,0,30.58929997496307,41.89770016819239,49.58069999702275
